TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
TROLLS BAND TOGETHER;Animação, Família, Música, Fantasia, Comédia, Aventura;2023;L
AINDA ESTOU AQUI;Drama, História;2024;14
BAGMAN;Terror, Thriller;2024;14
CHICO BENTO E A GOIABEIRA MARAVIOSA;Família, Aventura, Comédia;2025;L
CONCLAVE;Drama, Thriller;2024;12
DEN OF THIEVES 2: PANTERA;Ação, Crime, Thriller;2025;16
EMILIA PÉREZ;Drama, Thriller;2024;16
MOANA 2;Aventura, Animação, Comédia, Família, Fantasia;2024;L
MUFASA: THE LION KING;Aventura, Família, Animação;2024;10
NOSFERATU;Terror, Fantasia;2024;16
O AUTO DA COMPADECIDA 2;Comédia, Drama;2024;12
PADDINGTON IN PERU;Aventura, Comédia, Família;2024;10
SONIC THE HEDGEHOG 3;Ação, Ficção científica, Comédia, Família;2024;12
THE WIZARD OF THE EMERALD CITY;Aventura, Família, Fantasia;1994;Sem Classificacao
WOLF MAN;Terror, Thriller;2025;16
ANORA;Drama, Comédia, Romance;2024;16
BABYGIRL;Romance, Thriller;2024;18
GLADIATOR II;Ação, Aventura, Drama;2024;16
KRAVEN THE HUNTER;Ação, Aventura, Thriller;2024;16
MARIA;História, Drama, Música;2024;14
WICKED;Drama, Romance, Fantasia;2024;10
ANACONDA;Aventura, Comédia, Terror;2025;14
AVATAR: FIRE AND ASH;Ficção científica, Aventura, Fantasia;2025;14
COLD STORAGE;Terror, Ficção científica, Comédia;2026;18
DAVID;Animação, Drama, Família, História;2025;10
FIVE NIGHTS AT FREDDY'S 2;Terror, Thriller;2025;14
O AGENTE SECRETO;Thriller, Drama, Crime;2025;16
O DIÁRIO DE PILAR NA AMAZÔNIA;Aventura;2026;10
PRIMATE;Terror, Thriller;2026;18
RETURN TO SILENT HILL;Mistério, Drama, Terror;2026;16
SEND HELP;Terror, Thriller, Comédia;2026;16
THE HOUSEMAID;Mistério, Thriller;2025;16
THE SPONGEBOB MOVIE: SEARCH FOR SQUAREPANTS;Aventura, Animação, Comédia, Família, Fantasia;2025;L
TOM AND JERRY: FORBIDDEN COMPASS;Animação, Comédia, Família, Fantasia, Aventura;2025;L
ZOOTOPIA 2;Aventura, Animação, Comédia, Família, Mistério;2025;10
AFFEKSJONSVERDI;Drama;2025;14
HAMNET;Drama, Romance, História;2025;14
MARTY SUPREME;Drama, Thriller;2025;16
NOW YOU SEE ME: NOW YOU DON’T;Crime, Thriller;2025;12
WICKED: FOR GOOD;Fantasia, Aventura, Romance;2025;10
D.P.A. - O FANTÁSTICO REINO DE ONDION;Aventura, Família, Fantasia;2025;L
PAW PATROL HOLIDAY SPECIAL 2025;Nao Encontrado;Nao Encontrado;Nao Encontrado
DEMON SLAYER -KIMETSU NO YAIBA- THE MOVIE: INFINITY CASTLE;Animação, Ação, Fantasia;;Sem Classificacao
MR. PEABODY & SHERMAN;Animação, Ficção científica, Comédia, Aventura, Família;2014;L
NON-STOP;Ação, Thriller, Mistério;2014;14
POMPEII;Ação, Aventura, História, Romance, Drama;2014;14
ROBOCOP;Ação, Thriller, Ficção científica;1987;14
THE LEGEND OF HERCULES;Ação, Aventura;2014;14
THE LEGO MOVIE;Animação, Família, Aventura, Comédia, Fantasia;2014;L
THE MONUMENTS MEN;Guerra, Drama, História, Ação;2014;12
ANCHORMAN 2: THE LEGEND CONTINUES;Comédia;2013;14
