MES_EXIBICAO,ANO_EXIBICAO,NOME_CINEMA,TITULO_ORIGINAL,PUBLICO,GENEROS,ANO_LANCAMENTO,CLASSIFICACAO,rotten_tomatoes,yt_views,yt_likes,yt_sentiment
1,2014,KINOPLEX OSASCO,THE HOBBIT: THE DESOLATION OF SMAUG,2776,"Fantasia, Aventura, Ação",2013,12,74.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,THE SECRET LIFE OF WALTER MITTY,1104,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,THE WOLF OF WALL STREET,446,"Crime, Drama, Comédia",2013,18,79.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,WALKING WITH DINOSAURS,3608,"Animação, Família, Aventura",2013,L,0.0,1314229.0,43983.0,0.0
1,2014,KINOPLEX PARKSHOPPING,47 RONIN,259,"Drama, Ação, Fantasia",2013,14,16.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,AMERICAN HUSTLE,220,"Drama, Crime",2013,14,92.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,ATÉ QUE A SORTE NOS SEPARE 2,15151,Comédia,2013,12,0.0,59612.0,341.0,0.0
1,2014,KINOPLEX PARKSHOPPING,AUGUST: OSAGE COUNTY,1110,"Comédia, Drama",2013,14,67.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,CONFISSÕES DE ADOLESCENTE - O FILME,5028,"Comédia, Família",2014,12,0.0,732414.0,4045.0,0.0
1,2014,KINOPLEX PARKSHOPPING,DELIVERY MAN,2849,Comédia,2013,12,40.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,DEVIL'S DUE,1944,Terror,2014,Sem Classificacao,21.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,ENDER'S GAME,2459,"Ficção científica, Ação, Aventura",2013,10,63.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,FROZEN,22842,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,GRAVITY,405,"Ficção científica, Thriller, Drama",2013,12,96.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,GRUDGE MATCH,1459,Comédia,2013,12,31.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,"I, FRANKENSTEIN",3399,"Terror, Thriller",2014,12,5.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,MUITA CALMA NESSA HORA 2,5021,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX PARKSHOPPING,NYMPHOMANIAC: VOL. I,628,Drama,2013,18,0.0,12513141.0,18567.0,0.0
1,2014,KINOPLEX PARKSHOPPING,PARANORMAL ACTIVITY: THE MARKED ONES,6248,"Terror, Thriller",2014,14,40.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,TARZAN,4366,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,THE BOOK THIEF,186,Drama,2013,10,50.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,THE HOBBIT: THE DESOLATION OF SMAUG,4468,"Fantasia, Aventura, Ação",2013,12,74.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,THE SECRET LIFE OF WALTER MITTY,1168,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,THE WOLF OF WALL STREET,5610,"Crime, Drama, Comédia",2013,18,79.0,0.0,0.0,0.0
1,2014,KINOPLEX PARKSHOPPING,WALKING WITH DINOSAURS,4084,"Animação, Família, Aventura",2013,L,0.0,1314229.0,43983.0,0.0
1,2014,KINOPLEX RIO SUL,47 RONIN,116,"Drama, Ação, Fantasia",2013,14,16.0,0.0,0.0,0.0
1,2014,KINOPLEX RIO SUL,ATÉ QUE A SORTE NOS SEPARE 2,6395,Comédia,2013,12,0.0,59612.0,341.0,0.0
