MES_EXIBICAO;ANO_EXIBICAO;NOME_CINEMA;TITULO_ORIGINAL;PUBLICO
1;2014;KINOPLEX WEST SHOPPING;WALKING WITH DINOSAURS;313
1;2015;KINOPLEX AMAZONAS;BIG HERO 6;2840
1;2015;KINOPLEX AMAZONAS;EXODUS: GODS AND KINGS;7018
1;2015;KINOPLEX AMAZONAS;INTO THE WOODS;394
1;2015;KINOPLEX AMAZONAS;LOUCAS PRA CASAR;12908
1;2015;KINOPLEX AMAZONAS;NIGHT AT THE MUSEUM: SECRET OF THE TOMB;5240
1;2015;KINOPLEX AMAZONAS;OS CARAS DE PAU;845
1;2015;KINOPLEX AMAZONAS;OUIJA;1692
1;2015;KINOPLEX AMAZONAS;TAKEN 3;4029
1;2015;KINOPLEX AMAZONAS;THE INTERVIEW;170
1;2015;KINOPLEX AMAZONAS;THE PENGUINS OF MADAGASCAR;8179
1;2015;KINOPLEX AVENIDA;A NOITE DA VIRADA;13
1;2015;KINOPLEX AVENIDA;BIG HERO 6;698
1;2015;KINOPLEX AVENIDA;BOYHOOD;286
1;2015;KINOPLEX AVENIDA;EXODUS: GODS AND KINGS;2398
1;2015;KINOPLEX AVENIDA;INTO THE WOODS;515
1;2015;KINOPLEX AVENIDA;LOUCAS PRA CASAR;6530
1;2015;KINOPLEX AVENIDA;NIGHT AT THE MUSEUM: SECRET OF THE TOMB;2231
1;2015;KINOPLEX AVENIDA;NIGHTCRAWLER;520
1;2015;KINOPLEX AVENIDA;OS CARAS DE PAU;2043
1;2015;KINOPLEX AVENIDA;RELATOS SALVAJES;127
1;2015;KINOPLEX AVENIDA;TAKEN 3;1625
1;2015;KINOPLEX AVENIDA;THE IMITATION GAME;270
1;2015;KINOPLEX AVENIDA;THE INTERVIEW;207
1;2015;KINOPLEX AVENIDA;THE PENGUINS OF MADAGASCAR;3207
1;2015;KINOPLEX AVENIDA;THE THEORY OF EVERYTHING;373
1;2015;KINOPLEX AVENIDA;UNBROKEN;542
1;2015;KINOPLEX AVENIDA;WHIPLASH;341
1;2015;KINOPLEX BOULEVARD;BIG HERO 6;3423
1;2015;KINOPLEX BOULEVARD;EXODUS: GODS AND KINGS;4381
1;2015;KINOPLEX BOULEVARD;INTO THE WOODS;432
1;2015;KINOPLEX BOULEVARD;LOUCAS PRA CASAR;6925
1;2015;KINOPLEX BOULEVARD;NIGHT AT THE MUSEUM: SECRET OF THE TOMB;5469
1;2015;KINOPLEX BOULEVARD;OS CARAS DE PAU;887
1;2015;KINOPLEX BOULEVARD;TAKEN 3;1900
1;2015;KINOPLEX BOULEVARD;THE HOBBIT: BATTLE OF THE FIVE ARMIES;471
1;2015;KINOPLEX BOULEVARD;THE PENGUINS OF MADAGASCAR;4964
1;2015;KINOPLEX BOULEVARD;THE THEORY OF EVERYTHING;427
1;2015;KINOPLEX BOULEVARD;UNBROKEN;453
1;2015;KINOPLEX BOULEVARD;WILD;455
1;2015;KINOPLEX DOM PEDRO;BIG HERO 6;8659
1;2015;KINOPLEX DOM PEDRO;BIRDMAN: OR (THE UNEXPECTED VIRTUE OF IGNORANCE);454
1;2015;KINOPLEX DOM PEDRO;DUMB AND DUMBER TO;1186
1;2015;KINOPLEX DOM PEDRO;EXODUS: GODS AND KINGS;15755
1;2015;KINOPLEX DOM PEDRO;INTERSTELLAR;3189
1;2015;KINOPLEX DOM PEDRO;INTO THE WOODS;518
